>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri Jun  4 16:55:26 2021 | (b'\xc3\xc0\xc8\xe0',) | (51136, 49280, 47520, 47104, 48480, 50528, 51712, 51072) | (b'\xbf\xe0\xb9 \xb8`\xbe`\xc6 \xca\x00',) | 0
>> Fri Jun  4 16:55:26 2021 | (b'\xbd`\xb7`',) | (46464, 47680, 49696, 51008, 50464, 48576, 46784, 46496) | (b'\xbb\x00\xc3\x00\xc7`\xc4\xa0\xbd\x00\xb6\xa0',) | 0
>> Fri Jun  4 16:55:26 2021 | (b'\xbb@\xb5@',) | (46080, 47360, 49376, 50592, 49952, 48032, 46336, 46112) | (b'\xb9\xe0\xc1\xe0\xc5\xa0\xc2@\xba`\xb4@',) | 0
>> Fri Jun  4 16:55:26 2021 | (b'\xbc\x80\xc2`',) | (49696, 48000, 46048, 45408, 46496, 48512, 49888, 49472) | (b'\xba \xb3 \xb1\xe0\xb7\x00\xbf \xc3\xc0',) | 0
>> Fri Jun  4 16:55:26 2021 | (b'\xb6 \xbc ',) | (50272, 51264, 50400, 48384, 46880, 46944, 48512, 50464) | (b'\xc8\x00\xc3\xe0\xbb\xe0\xb6\x80\xb7\xc0\xbe\x80',) | 0
>> Fri Jun  4 16:55:26 2021 | (b'\xc7\x00\xc5\xc0',) | (48928, 47136, 46688, 48000, 50016, 51168, 50560, 48608) | (b'\xb7 \xb6\xa0\xbc`\xc4 \xc8\x00\xc4\xa0',) | 0
>> Fri Jun  4 16:55:26 2021 | (b'\xb7 \xbc\xe0',) | (50464, 51520, 50752, 48800, 47200, 47168, 48736, 50688) | (b'\xc9@\xc5`\xbd\x80\xb7\xa0\xb8`\xbf\x00',) | 0
>> Fri Jun  4 16:55:27 2021 | (b'\xc0\xe0\xc3@',) | (48992, 47008, 45760, 46176, 47936, 49696, 50080, 48736) | (b'\xb6`\xb2`\xb4\xa0\xbb\xe0\xc2`\xc2\xe0',) | 0
>> Fri Jun  4 16:55:27 2021 | (b'\xc0\xc0\xbd\xc0',) | (46688, 45152, 45216, 46848, 48832, 49664, 48608, 46528) | (b'\xb0@\xb1@\xb8\x00\xbf\xa0\xc1\xa0\xbc\xe0',) | 0
>> Fri Jun  4 16:55:27 2021 | (b'\xc6\x00\xc9\xc0',) | (50912, 48896, 47296, 47296, 48928, 50912, 51680, 50656) | (b'\xbd\xe0\xb8`\xb9`\xc0`\xc7\xe0\xca ',) | 0
>> Fri Jun  4 16:55:27 2021 | (b'\xb8\xc0\xc0\xa0',) | (50848, 50656, 48896, 47072, 46496, 47648, 49696, 51008) | (b'\xc5@\xbd\xe0\xb7\x00\xb5\xa0\xbb \xc3\x00',) | 0
>> Fri Jun  4 16:55:27 2021 | (b'\xb5`\xb6\xa0',) | (48544, 50528, 51104, 49920, 47872, 46592, 47072, 48864) | (b'\xc5\xe0\xc7 \xc1\xe0\xb9\xe0\xb5\xe0\xb8`',) | 0
>> Fri Jun  4 16:55:27 2021 | (b'\xbb\xc0\xc3 ',) | (50880, 49952, 47968, 46528, 46688, 48384, 50272, 50880) | (b'\xc2 \xba`\xb5`\xb7 \xbe`\xc5`',)       | 0
>> Fri Jun  4 16:55:27 2021 | (b'\xb3\xe0\xaf`',) | (45088, 46752, 48640, 49248, 48096, 46112, 44896, 45280) | (b'\xb7\xe0\xbe\xc0\xc0 \xba\xe0\xb3\x00\xaf\x00',) | 0
>> Fri Jun  4 16:55:27 2021 | (b'\xc5\xe0\xc8`',) | (50272, 48224, 46848, 47200, 49024, 50880, 51296, 49952) | (b'\xbb \xb6\xa0\xb8\xc0\xc0\x00\xc7\x00\xc7\xc0',) | 0
>> Fri Jun  4 16:55:28 2021 | (b'\xc8\x80\xc6`',) | (48864, 47200, 47072, 48608, 50624, 51520, 50592, 48544) | (b'\xb7\xe0\xb8`\xbe\xe0\xc6\x80\xc9 \xc4\xc0',) | 0
>> Fri Jun  4 16:55:28 2021 | (b'\xc1\x00\xba@',) | (46464, 46752, 48480, 50336, 50880, 49632, 47584, 46400) | (b'\xb7@\xbe`\xc5@\xc6`\xc0\xc0\xb8\xe0',) | 0
>> Fri Jun  4 16:55:28 2021 | (b'\xb2\x00\xb6`',) | (48832, 50272, 49952, 48160, 46304, 45824, 47104, 49152) | (b'\xc5\x00\xc2\xc0\xbb@\xb4`\xb3`\xb9\x00',) | 0
>> Fri Jun  4 16:55:28 2021 | (b'\xbe\xc0\xc1`',) | (48512, 46496, 45184, 45568, 47328, 49152, 49696, 48352) | (b'\xb4\xe0\xb0`\xb2`\xb9\xc0\xc0\xa0\xc1\xc0',) | 0
>> Fri Jun  4 16:55:28 2021 | (b'\xb6`\xb7\x00',) | (48480, 50528, 51360, 50432, 48416, 46848, 46944, 48640) | (b'\xc5\xa0\xc8`\xc3\xe0\xbb\xe0\xb6\xa0\xb8 ',) | 0
>> Fri Jun  4 16:55:28 2021 | (b'\xbe`\xb8`',) | (46848, 48096, 50144, 51360, 50816, 48896, 47200, 46976) | (b'\xbd \xc5\x00\xc9 \xc5\xe0\xbe \xb7\xe0',) | 0
>> Fri Jun  4 16:55:28 2021 | (b'\xc5\xe0\xc8\xa0',) | (50336, 48320, 46944, 47232, 48992, 50880, 51360, 50080) | (b'\xbb\xa0\xb7\x00\xb9 \xc0`\xc7`\xc8`',) | 0
>> Fri Jun  4 16:55:28 2021 | (b'\xb1\xe0\xb4\xa0',) | (48160, 49888, 50080, 48608, 46624, 45664, 46464, 48384) | (b'\xc3@\xc3\x00\xbc\xc0\xb5\x00\xb2\xa0\xb6`',) | 0
>> Fri Jun  4 16:55:28 2021 | (b'\xb8`\xbf\xc0',) | (49792, 48640, 46624, 45376, 45824, 47648, 49472, 49824) | (b'\xbd \xb5\x00\xb1\x00\xb3\x80\xbb\x00\xc1\xe0',) | 0
>> Fri Jun  4 16:55:29 2021 | (b'\xc2`\xbb`',) | (47008, 47680, 49632, 51296, 51488, 49920, 47936, 47072) | (b'\xbb`\xc3 \xc9 \xc8\x80\xc1\xe0\xba@',) | 0
>> Fri Jun  4 16:55:29 2021 | (b'\xb8\x00\xbf\xa0',) | (50784, 50784, 49184, 47264, 46496, 47488, 49504, 50976) | (b'\xc6 \xbf\x00\xb7`\xb5`\xba \xc2 ',)    | 0
>> Fri Jun  4 16:55:29 2021 | (b'\xbb\xa0\xb7\x00',) | (47072, 48736, 50656, 51264, 50144, 48128, 46848, 47264) | (b'\xbf\x80\xc6\xa0\xc8@\xc3\x00\xbb \xb6\xa0',) | 0
>> Fri Jun  4 16:55:29 2021 | (b'\xb2\xe0\xb8`',) | (49408, 50592, 49920, 47936, 46176, 45984, 47488, 49472) | (b'\xc5 \xc1\xe0\xb9\xe0\xb3\xc0\xb4 \xba\x80',) | 0
>> Fri Jun  4 16:55:29 2021 | (b'\xbd@\xb7\x00',) | (45152, 44768, 46048, 48032, 49184, 48576, 46624, 44992) | (b'\xaf \xb4\xe0\xbc\xa0\xc0\x80\xbd\x00\xb5`',) | 0
>> Fri Jun  4 16:55:29 2021 | (b'\xbe\xa0\xc6`',) | (51552, 50432, 48384, 47008, 47360, 49184, 51072, 51552) | (b'\xc4 \xbc \xb7\xa0\xb9\xa0\xc1\x00\xc8\x00',) | 0
>> Fri Jun  4 16:55:29 2021 | (b'\xc7\x00\xc8\x00',) | (49824, 47840, 46848, 47616, 49600, 51232, 51232, 49632) | (b'\xba\x00\xb7\x00\xbb\x00\xc2\xc0\xc8\xa0\xc7\xe0',) | 0
>> Fri Jun  4 16:55:29 2021 | (b'\xc2\xe0\xc6\x80',) | (50144, 48160, 46624, 46624, 48224, 50176, 50976, 49920) | (b'\xbb\x00\xb5`\xb6@\xbd\x00\xc4`\xc6\xa0',) | 0
>> Fri Jun  4 16:55:30 2021 | (b'\xba\xe0\xb5\x00',) | (46112, 47520, 49568, 50656, 49920, 47968, 46336, 46240) | (b'\xba`\xc2\x00\xc5\xa0\xc1\xe0\xba@\xb4\x80',) | 0
>> Fri Jun  4 16:55:30 2021 | (b'\xaf\xe0\xb2`',) | (47584, 49376, 49632, 48160, 46176, 45216, 45984, 47904) | (b'\xc1`\xc1`\xbb\x00\xb3`\xb0`\xb4`',)    | 0
>> Fri Jun  4 16:55:30 2021 | (b'\xc7\x00\xc6`',) | (49184, 47296, 46624, 47776, 49824, 51168, 50752, 48928) | (b'\xb8 \xb6\xa0\xbb\xa0\xc3`\xc8\x00\xc5\xa0',) | 0
>> Fri Jun  4 16:55:30 2021 | (b'\xc7\xa0\xc3\x00',) | (48000, 46880, 47488, 49376, 51104, 51296, 49760, 47776) | (b'\xb7\x00\xba@\xc2\x00\xc8`\xc8\x00\xc1\xa0',) | 0
>> Fri Jun  4 16:55:30 2021 | (b'\xba\xe0\xb6 ',) | (46944, 48640, 50528, 51136, 49952, 47904, 46624, 47072) | (b'\xbf\x00\xc6@\xc7\xa0\xc2\x00\xba \xb5\xe0',) | 0
>> Fri Jun  4 16:55:30 2021 | (b'\xc0\xa0\xbb\x80',) | (46176, 45312, 46176, 48032, 49568, 49504, 47872, 45984) | (b'\xb1@\xb5@\xbd\x00\xc2 \xc0\xe0\xba\x00',) | 0
>> Fri Jun  4 16:55:30 2021 | (b'\xba\x00\xb3`',) | (45216, 46176, 48160, 49664, 49504, 47744, 45920, 45344) | (b'\xb5\x80\xbd`\xc2`\xc0`\xb9\x00\xb1\xe0',) | 0
>> Fri Jun  4 16:55:30 2021 | (b'\xb6 \xb9\x00',) | (49312, 51072, 51264, 49760, 47712, 46688, 47520, 49504) | (b'\xc7\xc0\xc7\xc0\xc1`\xb9\xa0\xb6\xc0\xba\xe0',) | 0
>> Fri Jun  4 16:55:30 2021 | (b'\xb7\x00\xb5\xa0',) | (47808, 49888, 51168, 50688, 48832, 47040, 46752, 48128) | (b'\xc4\x00\xc8 \xc5\x00\xbd@\xb6\xe0\xb6`',) | 0
>> Fri Jun  4 16:55:31 2021 | (b'\xb6`\xb8`',) | (49120, 50976, 51392, 50048, 48000, 46880, 47520, 49440) | (b'\xc8\x00\xc8\xc0\xc2\xa0\xba\xe0\xb7\x00\xba`',) | 0
>> Fri Jun  4 16:55:31 2021 | (b'\xb4\xe0\xbc\xc0',) | (49952, 49760, 48032, 46112, 45408, 46560, 48576, 49952) | (b'\xc1\xe0\xba\xa0\xb3\x80\xb1\xe0\xb6\xe0\xbe\xe0',) | 0
>> Fri Jun  4 16:55:31 2021 | (b'\xc0\xe0\xc0 ',) | (47584, 45728, 45184, 46400, 48352, 49632, 49088, 47200) | (b'\xb1\xe0\xb1\x00\xb6`\xbe`\xc2 \xbe\xe0',) | 0
>> Fri Jun  4 16:55:31 2021 | (b'\xc6`\xc9`',) | (50624, 48608, 47136, 47360, 49088, 50976, 51552, 50368) | (b'\xbc\xe0\xb7\xe0\xb9\xc0\xc0\xe0\xc8\x00\xc9`',) | 0
>> Fri Jun  4 16:55:31 2021 | (b'\xc1\x80\xc6\xc0',) | (50656, 48832, 47008, 46592, 47872, 49920, 51104, 50432) | (b'\xbd\x80\xb6\xa0\xb5\xe0\xbb\x80\xc3`\xc7 ',) | 0
>> Fri Jun  4 16:55:31 2021 | (b'\xb6 \xbc\xc0',) | (50336, 50976, 49824, 47840, 46496, 46848, 48672, 50464) | (b'\xc6\xc0\xc1\x80\xb9\xa0\xb5 \xb7\x80\xbe\xc0',) | 0
>> Fri Jun  4 16:55:31 2021 | (b'\xb9\xa0\xb4 ',) | (45920, 47296, 49312, 50368, 49600, 47648, 46016, 45984) | (b'\xb9\xe0\xc1`\xc4\x80\xc0\x80\xb8\xa0\xb3\x00',) | 0
>> Fri Jun  4 16:55:31 2021 | (b'\xbf \xbd\x80',) | (46784, 45088, 44832, 46240, 48192, 49184, 48448, 46464) | (b'\xaf`\xaf`\xb5`\xbd\x00\xc0@\xbc`',)    | 0
>> Fri Jun  4 16:55:32 2021 | (b'\xc7\xc0\xc4\xa0',) | (48416, 46912, 47072, 48736, 50656, 51296, 50176, 48160) | (b'\xb6\xe0\xb8`\xbf\x80\xc6\xa0\xc8`\xc3 ',) | 0
