>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri Mar 19 14:42:52 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'GFCX\x00\x00\x00\x00\x00\x00\x00\x05',) | (270.0,)
>> Fri Mar 19 14:42:52 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'TEST\x00\x00\x00\x00\x00\x00\x00\x05',) | (270.0,)
>> Fri Mar 19 14:42:52 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'NODATA\x00\x00\x00\x00\x00\x01',)       | (777.7000122070312,)
>> Fri Mar 19 14:42:53 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'AZUX\x00\x00\x00\x00\x00\x00\x00\x02',) | (777.7000122070312,)
>> Fri Mar 19 14:42:54 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'INCX\x00\x00\x00\x00\x00\x00\x00\x03',) | (777.7000122070312,)
>> Fri Mar 19 14:42:55 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'MDAX\x00\x00\x00\x00\x00\x00\x00\x04',) | (777.7000122070312,)
>> Fri Mar 19 14:42:56 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'GFCX\x00\x00\x00\x00\x00\x00\x00\x05',) | (0.0,)
>> Fri Mar 19 14:42:57 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'GFCX\x00\x00\x00\x00\x00\x00\x00\x05',) | (90.0,)
>> Fri Mar 19 14:42:58 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'GFCX\x00\x00\x00\x00\x00\x00\x00\x05',) | (180.0,)
>> Fri Mar 19 14:43:00 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'GFCX\x00\x00\x00\x00\x00\x00\x00\x05',) | (270.0,)
>> Fri Mar 19 14:43:00 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'NODATA\x00\x00\x00\x00\x00\x01',)       | (777.7000122070312,)
>> Fri Mar 19 14:43:01 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'AZUX\x00\x00\x00\x00\x00\x00\x00\x02',) | (777.7000122070312,)
>> Fri Mar 19 14:43:02 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'INCX\x00\x00\x00\x00\x00\x00\x00\x03',) | (777.7000122070312,)
>> Fri Mar 19 14:43:03 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'MDAX\x00\x00\x00\x00\x00\x00\x00\x04',) | (777.7000122070312,)
>> Fri Mar 19 14:43:04 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'GFCX\x00\x00\x00\x00\x00\x00\x00\x05',) | (0.0,)
>> Fri Mar 19 14:43:05 2021 | (b'1234',) | (34890, 42826, 41034, 35146, 16028, 35228, 36764, 31610) | (b'GFCX\x00\x00\x00\x00\x00\x00\x00\x05',) | (90.0,)
