>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Fri May 28 16:08:09 2021 | (b'\xc5\x0f\xc5\xef',) | (50799, 50799, 50799, 50799, 50799, 50799, 50799, 50799) | (b'\xc6o\xc6o\xc6o\xc6\xaf\xc6o\xc6\xaf',) | 0
>> Fri May 28 16:08:09 2021 | (b'\xa0\xef\xa1\xaf',) | (41455, 41455, 41455, 41455, 41455, 41455, 41455, 41487) | (b'\xa2\x0f\xa2/\xa2\x0f\xa2/\xa2\x0f\xa2/',) | 0
>> Fri May 28 16:08:10 2021 | (b'\x8fO\x90\x0f',) | (37007, 36975, 36975, 36975, 36975, 36943, 36943, 36943) | (b'\x90O\x90O\x90m\x90O\x90o\x90o',)       | 0
>> Fri May 28 16:08:10 2021 | (b'\x93\xef\x94\xcf',) | (38159, 38191, 38191, 38191, 38159, 38159, 38191, 38159) | (b'\x95\x0f\x95\x0f\x95\x0f\x95\x0f\x95\x0f\x95\x0f',) | 0
>> Fri May 28 16:08:11 2021 | (b'\xad\x8f\xaeo',) | (44751, 44751, 44751, 44719, 44719, 44719, 44719, 44719) | (b'\xae\xaf\xae\xaf\xae\xaf\xae\xaf\xae\xaf\xae\xaf',) | 0
>> Fri May 28 16:08:11 2021 | (b'\xd6O\xd7/',) | (55215, 55183, 55215, 55183, 55183, 55183, 55215, 55151) | (b'\xd7o\xd7\xaf\xd7\xaf\xd7\xaf\xd7\xaf\xd7\xaf',) | 0
>> Fri May 28 16:08:12 2021 | (b'\xfc\xaf\xfd\xaf',) | (65007, 65039, 65007, 65007, 65007, 65007, 65039, 65007) | (b'\xfd\xef\xfe\x0f\xfd\xef\xfd\xef\xfe\x0f\xfd\xef',) | 0
>> Fri May 28 16:08:12 2021 | (b'\xff\xff\xff\xff',) | (65535, 65535, 65535, 65535, 65535, 65535, 65535, 65535) | (b'\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff\xff',) | 0
>> Fri May 28 16:08:13 2021 | (b'\xea/\xea\xef',) | (60303, 60271, 60271, 60303, 60303, 60335, 60303, 60335) | (b'\xeb\xaf\xeb\xaf\xeb\xaf\xeb\xaf\xeb\xaf\xeb\xaf',) | 0
>> Fri May 28 16:08:13 2021 | (b'\xbeo\xbfo',) | (49103, 49071, 49071, 49071, 49071, 49071, 49071, 49071) | (b'\xbf\xaf\xbf\xaf\xbf\xaf\xbf\xcf\xbf\xaf\xbf\xaf',) | 0
>> Fri May 28 16:08:14 2021 | (b'\x9c\xcf\x9d\xaf',) | (40431, 40431, 40431, 40399, 40399, 40399, 40431, 40431) | (b'\x9d\xef\x9d\xef\x9d\xef\x9e\x0f\x9d\xef\x9d\xef',) | 0
>> Fri May 28 16:08:14 2021 | (b'\x8e\x8e\x8fO',) | (36783, 36781, 36783, 36776, 36751, 36751, 36783, 36783) | (b'\x8f\xaf\x8f\xaf\x8f\xaf\x8f\xaf\x8f\xaf\x8f\xaf',) | 0
>> Fri May 28 16:08:15 2021 | (b'\x96\xaf\x97o',) | (38863, 38863, 38863, 38863, 38863, 38831, 38831, 38831) | (b'\x97\xaf\x97\xaf\x97\xaf\x97\xaf\x97\xaf\x97\xcf',) | 0
>> Fri May 28 16:08:15 2021 | (b'\xb3O\xb4/',) | (46255, 46255, 46191, 46191, 46191, 46191, 46191, 46191) | (b'\xb4o\xb4o\xb4o\xb4o\xb4o\xb4o',)       | 0
>> Fri May 28 16:08:16 2021 | (b'\xddo\xdeo',) | (57007, 57007, 57007, 57007, 57007, 57007, 57007, 57007) | (b'\xde\xaf\xde\xaf\xde\xaf\xde\xaf\xde\xaf\xde\xaf',) | 0
