>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Mon Jun  7 16:00:10 2021 | (b'jo}o',) | (32767, 32767, 32767, 32767, 31663, 32767, 32767, 32767) | (b'\x7f\xff\x7f\xffo\x0ff\x0fk\xafy\xaf',) | 0
>> Mon Jun  7 16:00:10 2021 | (b'b\xefQ\xef',) | (17935, 18095, 20655, 23119, 23279, 21263, 19247, 19407) | (b'X\x0fjou\xafp\xaf`\xefQ/',)             | 0
>> Mon Jun  7 16:00:10 2021 | (b'1o9O',) | (14575, 11887, 8751, 7631, 9615, 13615, 17135, 18031) | (b'>\xaf1\xaf*\xef/\xef;/B/',)             | 0
>> Mon Jun  7 16:00:10 2021 | (b'\x1b\xef\x15\xaf',) | (6543, 9775, 13103, 14287, 12879, 10671, 10543, 12719) | (b'</A/;\x0f+o\x1a\xef\x13/',)             | 0
>> Mon Jun  7 16:00:11 2021 | (b':\xaf5/',) | (14703, 17423, 19503, 18927, 15791, 12111, 10639, 12303) | (b'=/H/Io@\xef6/3o',)                      | 0
>> Mon Jun  7 16:00:11 2021 | (b'R\xefY\xef',) | (22127, 18735, 15215, 14191, 16495, 20591, 23855, 24047) | (b'T\xafJoG\xefOoZ\xcf_\xaf',)             | 0
>> Mon Jun  7 16:00:11 2021 | (b'G\xafPo',) | (24431, 27119, 26639, 23759, 20975, 20847, 23727, 27663) | (b't\xafoOaoUoSo\\\xaf',)                  | 0
>> Mon Jun  7 16:00:11 2021 | (b'\x7f\xff\x7f\xff',) | (32767, 29423, 29039, 31791, 32767, 32767, 32767, 29615) | (b'k\x0fp\xef\x7f\xff\x7f\xff\x7f\xff\x7f\xff',) | 0
>> Mon Jun  7 16:00:11 2021 | (b'\x7f\xff\x7f\xff',) | (32767, 30223, 26031, 24847, 26863, 29455, 30127, 27823) | (b'_\x0fX\xaf_Op\xef\x7f\xff\x7f\xff',)    | 0
>> Mon Jun  7 16:00:11 2021 | (b'joe\xcf',) | (24239, 23311, 23727, 25263, 25967, 23919, 19823, 15791) | (b'8oA\xafT/eokoe\xcf',)                   | 0
>> Mon Jun  7 16:00:11 2021 | (b'+\xaf-\xef',) | (10031, 7215, 5903, 7599, 11439, 15343, 16751, 14959) | (b'-\xef%o&o.\xaf4\xef2\xcf',)             | 0
>> Mon Jun  7 16:00:12 2021 | (b'\x1a/\x19\xef',) | (8911, 11599, 12751, 12079, 9967, 7983, 7919, 9967) | (b'0O2\x8f+o \xaf\x1bo o',)                | 0
>> Mon Jun  7 16:00:12 2021 | (b'O\xefI\xcf',) | (16047, 14575, 16047, 19759, 23119, 23727, 21167, 17359) | (b':o;/D\xafL\xafK\x0f?\xef',)             | 0
>> Mon Jun  7 16:00:12 2021 | (b'Z\xafR\xaf',) | (18671, 17935, 20239, 23983, 26543, 25775, 22639, 18863) | (b'D\x0fJ\xcfV\xaf]\xafX\xefLo',)          | 0
>> Mon Jun  7 16:00:12 2021 | (b'S\xefRo',) | (23791, 28783, 32767, 32767, 31471, 27599, 25487, 26543) | (b'r\xafy/s\xafcoS\xafN\xaf',)             | 0
>> Mon Jun  7 16:00:12 2021 | (b'\x7f\xff\x7f\xff',) | (32767, 32527, 31791, 32767, 32767, 32767, 32767, 32767) | (b'\x7f\xff\x7f/\x7f\xff\x7f\xff\x7f\xff\x7f\xff',) | 0
>> Mon Jun  7 16:00:12 2021 | (b'_\xcfro',) | (32767, 32767, 32767, 29615, 25071, 23727, 25551, 28591) | (b'tol/]\xefT/V\xefeo',)                   | 0
>> Mon Jun  7 16:00:12 2021 | (b'Z\x0fd\xaf',) | (26031, 23343, 20047, 18735, 20143, 22639, 23663, 21615) | (b'D/6\xaf5\x0f@\x0fO\xcfYo',)             | 0
>> Mon Jun  7 16:00:12 2021 | (b'\x1a\xcf\x1c\xaf',) | (9711, 11759, 11663, 9423, 6959, 6415, 8783, 12719) | (b'=o>\x0f3\xaf&o\x1f\xcf#o',)             | 0
>> Mon Jun  7 16:00:13 2021 | (b'\x1ao*\xaf',) | (13391, 12751, 10255, 8239, 8175, 9839, 11503, 10959) | (b'\x1eo\x0e+\x03\xf8\x05\xa0\x12\x0f \x8f',) | 0
>> Mon Jun  7 16:00:13 2021 | (b')O0\xcf',) | (15599, 17327, 16239, 12847, 9199, 7759, 9263, 12367) | (b"9\x0f7\xaf.\xaf'/(\xaf2\xef",)          | 0
>> Mon Jun  7 16:00:13 2021 | (b'2\xefC/',) | (21103, 22063, 20207, 17615, 16751, 18511, 21423, 22831) | (b'R/A\xcf2o,\xcf3o@o',)                   | 0
>> Mon Jun  7 16:00:13 2021 | (b'RO]o',) | (26159, 25199, 21359, 17519, 16143, 17327, 19823, 21711) | (b'R\xefI\x0f?o?/Ko]o',)                   | 0
>> Mon Jun  7 16:00:13 2021 | (b'\x7f\xff\x7f\x0f',) | (30159, 30191, 32767, 32767, 32767, 32767, 29551, 25871) | (b'd/p/~\xaf\x7f\xff~\xafq\xaf',)          | 0
>> Mon Jun  7 16:00:13 2021 | (b'{\xcf\x7f\xef',) | (32767, 32767, 32767, 31663, 26351, 23599, 25135, 29871) | (b'\x7f\xff\x7f\xff\x7f\xff}\xefzo\x7f\xff',) | 0
>> Mon Jun  7 16:00:13 2021 | (b'\x7f\xff\x7f\xff',) | (30735, 28943, 30063, 32767, 32767, 32767, 31087, 26543) | (b'^\xafb\xefp/{oz\xafn\xaf',)             | 0
>> Mon Jun  7 16:00:13 2021 | (b'C\x8fLo',) | (22479, 24015, 22895, 19887, 17327, 17199, 19695, 22895) | (b']\xefVoH\xaf>/>\xafJo',)                | 0
>> Mon Jun  7 16:00:14 2021 | (b'1\xef+o',) | (7983, 5839, 6063, 8431, 10959, 11311, 9391, 6703) | (b'\x14\xaf\x19o%\x0f/\x0f/\x8f&\x0f',)    | 0
>> Mon Jun  7 16:00:14 2021 | (b'\x15o!\xef',) | (11727, 12207, 9839, 6799, 5359, 6415, 9231, 11535) | (b',\x0f!o\x14O\x10o\x18\x0f&\xaf',)       | 0
