>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Mon May 31 11:33:36 2021 | (b'\xd5\xcf\xd6\xef',) | (55087, 55055, 55055, 55055, 55055, 55055, 55055, 55055) | (b'\xd7\x0f\xd7\x0f\xd7\x0f\xd7\x0f\xd7\x0f\xd7/',) | 0
>> Mon May 31 11:33:36 2021 | (b'\xd5\xaf\xd6\xef',) | (55055, 55087, 55087, 55087, 55087, 55055, 55055, 55087) | (b'\xd7\x0f\xd7\x0f\xd7\x0f\xd6\xef\xd6\xef\xd7\x0f',) | 0
>> Mon May 31 11:33:37 2021 | (b'\xd5\xaf\xd6\xcf',) | (55055, 55055, 55055, 55055, 55023, 55023, 55055, 55055) | (b'\xd7/\xd7/\xd7/\xd7/\xd7\x0f\xd7\x0f',) | 0
>> Mon May 31 11:33:39 2021 | (b'\xd5\xaf\xd6\xef',) | (55055, 55055, 55055, 55055, 55055, 55055, 55055, 55055) | (b'\xd7\x0f\xd7\x0f\xd7\x0f\xd7\x0f\xd7/\xd7\x0f',) | 0
>> Mon May 31 11:33:40 2021 | (b'\xd5\xcf\xd6\xef',) | (55087, 55055, 55055, 55055, 55023, 55023, 55055, 55023) | (b'\xd6\xef\xd7\x0f\xd7\x0f\xd7/\xd7\x0f\xd7/',) | 0
>> Mon May 31 11:33:41 2021 | (b'\xd5\xaf\xd6\xef',) | (55055, 55087, 55055, 55055, 55055, 55023, 55023, 55023) | (b'\xd6\xef\xd6\xef\xd6\xef\xd6\xef\xd6\xef\xd7\x0f',) | 0
>> Mon May 31 11:33:42 2021 | (b'\xd5\xaf\xd6\xcf',) | (55023, 55023, 55023, 55023, 55023, 55023, 55023, 55055) | (b'\xd6\xef\xd6\xef\xd6\xef\xd7\x0f\xd6\xef\xd6\xef',) | 0
>> Mon May 31 11:33:43 2021 | (b'\xd5\xaf\xd6\xcf',) | (55055, 55055, 55055, 55023, 55023, 55023, 55023, 55023) | (b'\xd6\xef\xd6\xef\xd6\xef\xd6\xef\xd7\x0f\xd6\xef',) | 0
>> Mon May 31 11:33:44 2021 | (b'\xd5\xaf\xd6\xcf',) | (55055, 55055, 55055, 55055, 55023, 55023, 55023, 55023) | (b'\xd7\x0f\xd6\xef\xd6\xef\xd7\x0f\xd6\xef\xd6\xef',) | 0
>> Mon May 31 11:33:45 2021 | (b'\xd5\xaf\xd6\xcf',) | (55023, 55055, 55023, 55023, 55023, 55023, 55023, 55023) | (b'\xd6\xef\xd6\xef\xd7\x0f\xd6\xef\xd7\x0f\xd7\x0f',) | 0
>> Mon May 31 11:33:46 2021 | (b'\xd5\xaf\xd6\xcf',) | (55023, 55055, 55055, 55055, 55023, 55023, 55023, 55055) | (b'\xd6\xef\xd6\xef\xd7\x0f\xd6\xef\xd6\xef\xd6\xef',) | 0
>> Mon May 31 11:33:47 2021 | (b'\xd5\xaf\xd6\xcf',) | (55023, 55023, 55023, 55023, 55023, 55023, 55023, 55055) | (b'\xd6\xef\xd7\x0f\xd7/\xd7/\xd7/\xd7\x0f',) | 0
>> Mon May 31 11:33:48 2021 | (b'9\xa0: ',) | (14944, 14944, 14912, 14880, 14880, 14912, 14880, 14880) | (b': : : : : : ',)                         | 0
>> Mon May 31 11:33:49 2021 | (b'B\x00B\x80',) | (17120, 17120, 17120, 17120, 17120, 17088, 17088, 17088) | (b'B\xc0B\xc0B\xe0B\xe0B\xe0B\xe0',)       | 0
>> Mon May 31 11:33:50 2021 | (b'0@0\xe0',) | (12544, 12576, 12544, 12544, 12544, 12544, 12544, 12544) | (b'1\x001\x001\x001\x001 1 ',)             | 0
>> Mon May 31 11:33:51 2021 | (b'$\xa0%`',) | (9568, 9568, 9568, 9568, 9568, 9568, 9568, 9568) | (b'%`%`%`%`%`%`',)                         | 0
>> Mon May 31 11:33:52 2021 | (b'1\x001\xa0',) | (12768, 12768, 12768, 12768, 12768, 12704, 12704, 12704) | (b'1\xa01\xa01\xa01\xa01\xa01\xa0',)       | 0
>> Mon May 31 11:33:53 2021 | (b'@`@\xe0',) | (16672, 16672, 16672, 16640, 16672, 16640, 16640, 16640) | (b'A\x00A\x00A\x00A\x00A\x00A\x00',)       | 0
>> Mon May 31 11:33:54 2021 | (b'9\xc0:`',) | (14976, 15008, 14976, 14976, 14944, 14976, 15008, 14976) | (b':\x80:\x80:\x80:\x80:\x80:\x80',)       | 0
>> Mon May 31 11:33:55 2021 | (b"'\x80( ",) | (10336, 10336, 10336, 10336, 10304, 10304, 10304, 10304) | (b'(@( (@(@(`(`',)                         | 0
>> Mon May 31 11:33:56 2021 | (b'%`&\x00',) | (9728, 9728, 9696, 9696, 9728, 9728, 9728, 9696) | (b'%\xe0&\x00%\xe0&\x00&\x00%\xe0',)       | 0
>> Mon May 31 11:33:57 2021 | (b'5 5\xc0',) | (13792, 13824, 13824, 13792, 13792, 13792, 13792, 13792) | (b'5\xe05\xe05\xe05\xe05\xe05\xe0',)       | 0
>> Mon May 31 11:33:58 2021 | (b'@ @\xa0',) | (16640, 16640, 16608, 16608, 16608, 16608, 16608, 16576) | (b'@\xe0@\xe0@\xe0@\xe0@\xe0@\xe0',)       | 0
>> Mon May 31 11:33:59 2021 | (b'7 7\xc0',) | (14336, 14336, 14336, 14304, 14336, 14368, 14336, 14336) | (b'7\xe08\x008 8\x008\x008\x00',)          | 0
>> Mon May 31 11:34:00 2021 | (b"&\xa0' ",) | (10080, 10080, 10080, 10080, 10080, 10080, 10080, 10080) | (b"'`'`'`'`'`'`",)                         | 0
>> Mon May 31 11:34:01 2021 | (b'$@%\x00',) | (9440, 9440, 9472, 9472, 9440, 9472, 9472, 9472) | (b'$\xe0%\x00$\xe0%\x00$\xe0%\x00',)       | 0
>> Mon May 31 11:34:02 2021 | (b'1\xe02`',) | (12960, 12960, 12896, 12896, 12896, 12896, 12896, 12896) | (b'2`2`2`2`2`2`',)                         | 0
>> Mon May 31 11:34:03 2021 | (b'>`?\x00',) | (16160, 16160, 16160, 16128, 16128, 16128, 16128, 16128) | (b'?\x00?\x00?\x00?\x00?\x00?\x00',)       | 0
>> Mon May 31 11:34:04 2021 | (b':\xa0;`',) | (15232, 15232, 15232, 15232, 15232, 15232, 15232, 15232) | (b';\x80;\x80;\x80;\x80;\x80;\x80',)       | 0
>> Mon May 31 11:34:05 2021 | (b'+`,\x00',) | (11296, 11328, 11296, 11296, 11296, 11296, 11296, 11296) | (b', , , , ,@,`',)                         | 0
>> Mon May 31 11:34:06 2021 | (b'"`# ',) | (9056, 8992, 8992, 8992, 8992, 8992, 8992, 8992) | (b'# # # # # # ',)                         | 0
>> Mon May 31 11:34:07 2021 | (b'(`)\x00',) | (10528, 10528, 10528, 10496, 10496, 10496, 10496, 10496) | (b')\x00)\x00)\x00)\x00)\x00)\x00',)       | 0
>> Mon May 31 11:34:08 2021 | (b'7`8\x00',) | (14368, 14368, 14368, 14336, 14336, 14336, 14336, 14336) | (b'8\x008\x008\x008\x008\x008\x00',)       | 0
>> Mon May 31 11:34:09 2021 | (b'>\xa0? ',) | (16224, 16224, 16224, 16224, 16224, 16224, 16224, 16224) | (b'?`?`?`?`?`?`',)                         | 0
>> Mon May 31 11:34:10 2021 | (b'7\xc08`',) | (14496, 14496, 14496, 14496, 14464, 14496, 14496, 14496) | (b'8\xa08\xa08\xa08\xa08\xa08\xa0',)       | 0
