>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Thu Jun  3 16:40:43 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[ [\x00Z\xe0[ [\x00Z\xe0',)             | 0
>> Thu Jun  3 16:40:43 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[\x00[ Z\xe0[ ',)                | 0
>> Thu Jun  3 16:40:43 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[\x00[ Z\xc0[ ',)                | 0
>> Thu Jun  3 16:40:43 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[\x00Z\xe0[ [ Z\xe0[\x00',)             | 0
>> Thu Jun  3 16:40:44 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[ [\x00Z\xe0[ [\x00Z\xe0',)             | 0
>> Thu Jun  3 16:40:44 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[\x00Z\xc0[\x00[ Z\xe0[ ',)             | 0
>> Thu Jun  3 16:40:44 2021 | (b'X\xa0[\xc0',) | (23136, 23104, 23232, 23232, 23232, 23264, 23296, 23328) | (b'Z\xe0[ [\x00Z\xe0[\x00[ ',)             | 0
>> Thu Jun  3 16:40:44 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[\x00Z\xe0[ [ Z\xe0[\x00',)             | 0
>> Thu Jun  3 16:40:44 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[ [\x00Z\xe0[ [\x00Z\xe0',)             | 0
>> Thu Jun  3 16:40:44 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23232, 23232, 23264, 23296, 23328) | (b'Z\xc0[ [\x00Z\xe0[ [ ',)                | 0
>> Thu Jun  3 16:40:44 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23264) | (b'[\x00[ Z\xc0[ [\x00Z\xe0',)             | 0
>> Thu Jun  3 16:40:44 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[\x00Z\xe0[ [\x00Z\xe0[\x00',)          | 0
>> Thu Jun  3 16:40:44 2021 | (b'X\xa0[\xc0',) | (23136, 23136, 23232, 23264, 23200, 23264, 23264, 23264) | (b'[\x00[ Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:45 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[\x00[ Z\xe0[ ',)                | 0
>> Thu Jun  3 16:40:45 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[\x00[ Z\xc0[ ',)                | 0
>> Thu Jun  3 16:40:45 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[\x00Z\xe0[ [ Z\xe0[ ',)                | 0
>> Thu Jun  3 16:40:45 2021 | (b'X\x80[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23232) | (b'[\x00[\x00Z\xc0[ [ Z\xe0',)             | 0
>> Thu Jun  3 16:40:45 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[ [ Z\xe0[ ',)                   | 0
>> Thu Jun  3 16:40:45 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[\x00[ Z\xe0[ ',)                | 0
>> Thu Jun  3 16:40:45 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[\x00[ Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:45 2021 | (b'X\xa0[\xc0',) | (23136, 23136, 23232, 23264, 23200, 23264, 23264, 23264) | (b'[\x00[ Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:46 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[\x00Z\xe0[ [ Z\xe0[ ',)                | 0
>> Thu Jun  3 16:40:46 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[\x00[ Z\xc0[ ',)                | 0
>> Thu Jun  3 16:40:46 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[\x00Z\xe0[ [ Z\xe0[ ',)                | 0
>> Thu Jun  3 16:40:46 2021 | (b'X\xa0[\xc0',) | (23136, 23136, 23232, 23264, 23200, 23264, 23264, 23264) | (b'[\x00[ Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:46 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[ [ Z\xe0[ ',)                   | 0
>> Thu Jun  3 16:40:46 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[\x00[ Z\xc0[ ',)                | 0
>> Thu Jun  3 16:40:46 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[\x00[ Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:46 2021 | (b'X\xa0[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[ [\x00Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:46 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[\x00Z\xc0[\x00[ Z\xe0[ ',)             | 0
>> Thu Jun  3 16:40:47 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[ [ Z\xe0[ [\x00Z\xe0',)                | 0
>> Thu Jun  3 16:40:47 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[\x00[ Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:47 2021 | (b'X\xa0[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[ [\x00Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:47 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[\x00[ Z\xe0[ ',)                | 0
>> Thu Jun  3 16:40:47 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[\x00[ Z\xe0[ ',)                | 0
>> Thu Jun  3 16:40:47 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[\x00[ Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:47 2021 | (b'X\xa0[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[ [\x00Z\xe0[ [\x00Z\xe0',)             | 0
>> Thu Jun  3 16:40:47 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[ [ Z\xe0[ ',)                   | 0
>> Thu Jun  3 16:40:48 2021 | (b'X\xa0[\xc0',) | (23456, 23008, 23136, 23264, 23168, 23232, 23264, 23296) | (b'[\x00Z\xc0[\x00[ Z\xe0[ ',)             | 0
>> Thu Jun  3 16:40:48 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[\x00[ Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:48 2021 | (b'X\xa0[\xc0',) | (23136, 23136, 23232, 23264, 23232, 23296, 23296, 23264) | (b'[ [\x00Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:48 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23264, 23264, 23264, 23264, 23296, 23328) | (b'Z\xe0[ [ Z\xe0[ [ ',)                   | 0
>> Thu Jun  3 16:40:48 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23264) | (b'[\x00[ Z\xe0[ [ Z\xe0',)                | 0
>> Thu Jun  3 16:40:48 2021 | (b'X\xa0[\xe0',) | (23136, 23136, 23232, 23264, 23232, 23264, 23264, 23296) | (b'[ Z\xe0[ [ Z\xe0[\x00',)                | 0
