>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Tue Jun  8 16:52:16 2021 | (b'\xd9@\xdc@',) | (56160, 56192, 56288, 56288, 56320, 56416, 56320, 56384) | (b'\xdc \xdc@\xdc@\xdc \xdc@\xdc@',)       | 0
>> Tue Jun  8 16:52:16 2021 | (b'\xd9@\xdc ',) | (56224, 56192, 56256, 56320, 56352, 56288, 56384, 56416) | (b'\xdc \xdc \xdc \xdc \xdc \xdc ',)       | 0
>> Tue Jun  8 16:52:16 2021 | (b'\xd9@\xdc ',) | (56192, 56192, 56256, 56320, 56384, 56288, 56384, 56416) | (b'\xdc\x00\xdc@\xdc \xdc@\xdc@\xdc ',)    | 0
>> Tue Jun  8 16:52:16 2021 | (b'\xd9@\xdc ',) | (56224, 56160, 56256, 56320, 56352, 56288, 56384, 56416) | (b'\xdc\x00\xdc@\xdc \xdc@\xdc@\xdc ',)    | 0
>> Tue Jun  8 16:52:16 2021 | (b'\xd9@\xdc ',) | (56192, 56192, 56224, 56288, 56352, 56384, 56320, 56352) | (b'\xdc \xdc@\xdc@\xdc \xdc@\xdc@',)       | 0
>> Tue Jun  8 16:52:16 2021 | (b'\xd9@\xdc ',) | (56224, 56192, 56256, 56320, 56352, 56320, 56352, 56352) | (b'\xdc \xdc \xdc \xdc \xdc \xdc ',)       | 0
>> Tue Jun  8 16:52:16 2021 | (b'\xd9@\xdc ',) | (56192, 56192, 56256, 56320, 56384, 56288, 56384, 56416) | (b'\xdc\x00\xdc@\xdc@\xdc \xdc@\xdc@',)    | 0
>> Tue Jun  8 16:52:16 2021 | (b'\xd9@\xdc ',) | (56224, 56160, 56256, 56320, 56352, 56288, 56384, 56416) | (b'\xdc \xdc@\xdc`\xdc@\xdc \xdc@',)       | 0
>> Tue Jun  8 16:52:16 2021 | (b'\xd9@\xdc ',) | (56192, 56192, 56224, 56288, 56352, 56416, 56320, 56384) | (b'\xdc \xdc@\xdc@\xdc \xdc@\xdc@',)       | 0
>> Tue Jun  8 16:52:17 2021 | (b'\xd9@\xdc ',) | (56224, 56192, 56256, 56320, 56352, 56320, 56352, 56352) | (b'\xdc \xdc \xdc \xdc \xdc \xdc ',)       | 0
>> Tue Jun  8 16:52:17 2021 | (b'\xd9@\xdc ',) | (56192, 56192, 56256, 56288, 56352, 56384, 56320, 56352) | (b'\xdc \xdc \xdc \xdc \xdc \xdc ',)       | 0
>> Tue Jun  8 16:52:17 2021 | (b'\xd9@\xdc ',) | (56224, 56192, 56256, 56288, 56320, 56384, 56320, 56352) | (b'\xdc \xdc \xdc \xdc \xdc \xdc ',)       | 0
>> Tue Jun  8 16:52:17 2021 | (b'\xd9@\xdc@',) | (56160, 56192, 56288, 56320, 56384, 56320, 56352, 56384) | (b'\xdc@\xdc \xdc@\xdc@\xdc \xdc@',)       | 0
>> Tue Jun  8 16:52:17 2021 | (b'\xd9@\xdc ',) | (56224, 56192, 56256, 56320, 56352, 56320, 56352, 56352) | (b'\xdc \xdc \xdc \xdc \xdc \xdc ',)       | 0
>> Tue Jun  8 16:52:17 2021 | (b'\xd9@\xdc@',) | (56160, 56192, 56288, 56320, 56384, 56288, 56384, 56416) | (b'\xdc\x00\xdc@\xdc@\xdc@\xdc \xdc@',)    | 0
>> Tue Jun  8 16:52:17 2021 | (b'\xd9@\xdc ',) | (56224, 56160, 56256, 56320, 56352, 56288, 56384, 56416) | (b'\xdc \xdc@\xdc`\xdc@\xdc \xdc@',)       | 0
>> Tue Jun  8 16:52:17 2021 | (b'\xd9@\xdc ',) | (56192, 56160, 56256, 56320, 56352, 56288, 56384, 56416) | (b'\xdc\x00\xdc@\xdc@\xdc \xdc@\xdc@',)    | 0
