>> ------DATA AND TIME------|--SYNCH 4b--|------------------------DATA 16b--------------------------|-----------------MNEM 12b-------------------|-------DATA 4b-------
>> Tue May 18 14:55:43 2021 | (b'\xb2\x01c\x06',) | (28422, 28422, 29190, 29190, 12038, 12038, 30214, 30214) | (b'v\x06v\x06r\x06r\x06y\x06y\x06',)       | (4.6460286361563723e-35,)
>> Tue May 18 14:55:43 2021 | (b'\x06\x81\x06\x8c',) | (1676, 1675, 1675, 1673, 1673, 1684, 1684, 1673) | (b'\x06\x89\x06\x89\x06\x89\x06\x84\x06\x84\x06\x90',) | (-4.049345694777501e-34,)
>> Tue May 18 14:55:48 2021 | (b'\xb7\x06\x99\x0b',) | (39179, 39179, 42507, 42507, 45067, 45067, 47627, 47627) | (b'\xa4\x0b\xa4\x0b\xa7\x0b\xa7\x0b\x9e\x0b\x9e\x0b',) | (6.395840077442699e-32,)
>> Tue May 18 14:55:48 2021 | (b'\xae\x0b\xa2\x0b',) | (41483, 36875, 36875, 40459, 39179, 39179, 39435, 39435) | (b'\x96\x0b\x96\x0b\x99\x0b\x99\x0b\x98\x0b\x98\x0b',) | (5.933609837823658e-32,)
>> Tue May 18 14:55:53 2021 | (b'}\x0b\xce\x02',) | (51970, 51970, 49154, 49154, 48130, 48130, 50178, 50178) | (b'\xc2\x02\xc2\x02\xd4\x02\xd4\x02\xc5\x02\xc5\x02',) | (2.9242016093837418e-37,)
>> Tue May 18 14:55:58 2021 | (b'\x89\x02\xbd\x04',) | (51716, 51716, 61700, 61700, 52740, 52740, 45572, 45572) | (b'\xba\x04\xba\x04\xc0\x04\xc0\x04\xc0\x04\xc0\x04',) | (4.961029194992534e-36,)
>> Tue May 18 14:56:04 2021 | (b'\x00\x00\x1e\x0b',) | (5387, 5387, 5131, 5131, 5131, 5131, 3851, 3851) | (b'\x10\x0b\x10\x0b\x14\x0b\x14\x0b\x0c\x0b\x0c\x0b',) | (2.812690556552922e-32,)
>> Tue May 18 14:56:04 2021 | (b'\xd0\x04\xd7\x04',) | (48132, 48132, 52996, 52996, 52228, 52228, 55300, 55300) | (b'\xdf\x04\xdf\x04\xda\x04\xda\x04\xd3\x04\xd3\x04',) | (5.078580423736797e-36,)
>> Tue May 18 14:56:04 2021 | (b'\x18\x05&\x0b',) | (10507, 10507, 8971, 8971, 7435, 7435, 8459, 8459) | (b'\x19\x0b\x19\x0b&\x0b&\x0b\x1f\x0b\x1f\x0b',) | (3.0438056763624427e-32,)
>> Tue May 18 14:56:04 2021 | (b'\x1b\x05\x88\x04',) | (32772, 32772, 32772, 32772, 37380, 37380, 32772, 32772) | (b'\x98\x04\x98\x04\x85\x04\x85\x04\x7f\x04\x7f\x04',) | (3.2212710095774405e-36,)
>> Tue May 18 14:56:05 2021 | (b'\xc9\x04P\x0b',) | (18699, 18699, 14859, 14859, 15883, 15883, 21259, 21259) | (b'Q\x0bQ\x0bC\x0bC\x0bS\x0bS\x0b',)       | (3.987525748917986e-32,)
>> Tue May 18 14:56:05 2021 | (b"'\x0bD\x01",) | (17921, 17921, 17921, 17921, 17665, 17665, 23041, 23041) | (b'=\x01=\x01J\x01J\x01@\x01@\x01',)       | (3.673511771498908e-38,)
>> Tue May 18 14:56:05 2021 | (b'q\x059\x04',) | (12292, 12292, 12804, 12804, 11268, 11268, 13316, 13316) | (b'>\x04>\x045\x045\x042\x042\x04',)       | (2.2571443040081277e-36,)
>> Tue May 18 14:56:05 2021 | (b'|\x04w\x0b',) | (30219, 30219, 28939, 28939, 29707, 29707, 29707, 29707) | (b'b\x0bb\x0br\x0br\x0bb\x0bb\x0b',)       | (4.7771690749338485e-32,)
>> Tue May 18 14:56:05 2021 | (b'X\x0b[\x01',) | (21249, 21249, 20993, 20993, 20993, 20993, 21505, 21505) | (b'T\x01T\x01W\x01W\x01Q\x01Q\x01',)       | (3.8939203253944015e-38,)
>> Tue May 18 14:56:06 2021 | (b'\xbf\x05\xf4\x03',) | (60163, 60163, 57859, 57859, 63491, 63491, 2052, 2052) | (b'\x01\x04\x01\x04\xf4\x03\xf4\x03\xe7\x03\xe7\x03',) | (1.3460304457439308e-36,)
>> Tue May 18 14:56:06 2021 | (b'!\x04\x9f\x0b',) | (34059, 34059, 39947, 39947, 38923, 38923, 37131, 37131) | (b'\xa9\x0b\xa9\x0b\x97\x0b\x97\x0b\x97\x0b\x97\x0b',) | (5.663975531379217e-32,)
>> Tue May 18 14:56:06 2021 | (b'w\x0be\x01',) | (28673, 28673, 28417, 28417, 26369, 26369, 25089, 25089) | (b'b\x01b\x01i\x01i\x01b\x01b\x01',)       | (4.132696258781186e-38,)
>> Tue May 18 14:56:06 2021 | (b'\x12\x06\xa2\x03',) | (41987, 41987, 41219, 41219, 38915, 38915, 35075, 35075) | (b'\xa9\x03\xa9\x03\xc4\x03\xc4\x03\xb1\x03\xb1\x03',) | (8.758255307668785e-37,)
>> Tue May 18 14:56:06 2021 | (b'\xdc\x03\xbf\x0b',) | (47115, 47115, 47627, 47627, 48907, 48907, 47371, 47371) | (b'\xb5\x0b\xb5\x0b\xb0\x0b\xb0\x0b\xb1\x0b\xb1\x0b',) | (6.858070317061741e-32,)
>> Tue May 18 14:56:06 2021 | (b'\x9c\x0b\x80\x01',) | (33537, 33537, 30465, 30465, 31233, 31233, 32769, 32769) | (b'}\x01}\x01{\x01{\x01w\x01w\x01',)       | (4.3898395716592614e-38,)
>> Tue May 18 14:56:07 2021 | (b'f\x01\xca\t',) | (51977, 51977, 51977, 51977, 53257, 53257, 53001, 53001) | (b'\xbb\t\xbb\t\xd8\t\xd8\t\xd7\t\xd7\t',) | (5.176862059999984e-33,)
>> Tue May 18 14:56:07 2021 | (b'j\x06e\x03',) | (22019, 22019, 22787, 22787, 22787, 22787, 24067, 24067) | (b'd\x03d\x03]\x03]\x03V\x03V\x03',)       | (6.14233868781324e-37,)
>> Tue May 18 14:56:07 2021 | (b'\x95\x03\xd6\x0b',) | (50955, 50955, 48651, 48651, 53515, 53515, 54539, 54539) | (b'\xe1\x0b\xe1\x0b\xd9\x0b\xd9\x0b\xce\x0b\xce\x0b',) | (8.360318595823626e-32,)
>> Tue May 18 14:56:07 2021 | (b'\xbb\x0b\x97\x01',) | (40961, 40961, 41473, 41473, 38145, 38145, 40961, 40961) | (b'\xa5\x01\xa5\x01\x9f\x01\x9f\x01\x97\x01\x97\x01',) | (5.289948786454586e-38,)
>> Tue May 18 14:56:07 2021 | (b'~\x01\x89\t',) | (37641, 37641, 40713, 40713, 30473, 30473, 25609, 25609) | (b'|\t|\t\x84\t\x84\t\x8f\t\x8f\t',)       | (3.3953496781349283e-33,)
>> Tue May 18 14:56:07 2021 | (b'\xca\t\r\x07',) | (2055, 2055, 1799, 1799, 2823, 2823, 1031, 1031) | (b'\x03\x07\x03\x07\xf9\x06\xf9\x06\x0e\x07\x0e\x07',) | (9.141665167917014e-35,)
>> Tue May 18 14:56:07 2021 | (b'\xc1\x06\x14\x03',) | (6915, 6915, 7171, 7171, 6403, 6403, 6915, 6915) | (b'\x1a\x03\x1a\x03\x1c\x03\x1c\x03\x19\x03\x19\x03',) | (4.5260092925796226e-37,)
>> Tue May 18 14:56:07 2021 | (b'W\x03\xed\x0b',) | (58891, 58891, 58891, 58891, 59147, 59147, 59915, 59915) | (b'\xe7\x0b\xe7\x0b\xe3\x0b\xe3\x0b\xe1\x0b\xe1\x0b',) | (8.591433715633146e-32,)
>> Tue May 18 14:56:08 2021 | (b'\xd3\x0b\xb6\x01',) | (47873, 47873, 47873, 47873, 46593, 46593, 47617, 47617) | (b'\xb7\x01\xb7\x01\xb4\x01\xb4\x01\xb0\x01\xb0\x01',) | (6.612400109827545e-38,)
>> Tue May 18 14:56:08 2021 | (b'\x9a\x01I\t',) | (16649, 16649, 15881, 15881, 16393, 16393, 13833, 13833) | (b'/\t/\t5\t5\t@\t@\t',)                   | (2.3115508661744873e-33,)
>> Tue May 18 14:56:08 2021 | (b'h\t`\x07',) | (24839, 24839, 24327, 24327, 23815, 23815, 22791, 22791) | (b'M\x07M\x07T\x07T\x07Z\x07Z\x07',)       | (1.6477890399116e-34,)
>> Tue May 18 14:56:08 2021 | (b'\x13\x07\xdc\x02',) | (56322, 56322, 55810, 55810, 55810, 55810, 56322, 56322) | (b'\xda\x02\xda\x02\xd5\x02\xd5\x02\xe3\x02\xe3\x02',) | (3.2327735848374324e-37,)
>> Tue May 18 14:56:08 2021 | (b'\x0f\x03\xf7\x0b',) | (63243, 63243, 58635, 58635, 57867, 57867, 3084, 3084) | (b'\xf9\x0b\xf9\x0b\xe8\x0b\xe8\x0b\xed\x0b\xed\x0b',) | (9.66997094141091e-32,)
>> Tue May 18 14:56:08 2021 | (b'\xeb\x0b\xe4\x01',) | (57345, 57345, 56577, 56577, 56577, 56577, 55297, 55297) | (b'\xd7\x01\xd7\x01\xd6\x01\xd6\x01\xd1\x01\xd1\x01',) | (7.787912397270176e-38,)
>> Tue May 18 14:56:08 2021 | (b'\xbb\x01\xf6\x08',) | (62216, 62216, 62472, 62472, 62728, 62728, 63240, 63240) | (b'\xfa\x08\xfa\x08\xfb\x08\xfb\x08\xf5\x08\xf5\x08',) | (1.5228996757578179e-33,)
>> Tue May 18 14:56:08 2021 | (b'&\t\xb1\x07',) | (46087, 46087, 44807, 44807, 47111, 47111, 45319, 45319) | (b'\xad\x07\xad\x07\xa7\x07\xa7\x07\xaa\x07\xaa\x07',) | (2.5282330459394212e-34,)
>> Tue May 18 14:56:09 2021 | (b'\x9a\x02\x9a\x02',) | (39682, 39682, 40962, 40962, 40962, 40962, 43778, 43778) | (b'\x97\x02\x97\x02\x9d\x02\x9d\x02\x9d\x02\x9d\x02',) | (2.4393027908136565e-37,)
>> Tue May 18 14:56:09 2021 | (b'\xcc\x02\xfd\x0b',) | (524, 524, 1804, 1804, 64267, 64267, 1548, 1548) | (b'\x08\x0c\x08\x0c\x01\x0c\x01\x0c\x04\x0c\x04\x0c',) | (1.0326602673527415e-31,)
>> Tue May 18 14:56:09 2021 | (b'\xe4\x01\x99\x08',) | (37640, 37640, 40456, 40456, 43272, 43272, 44808, 44808) | (b'\xae\x08\xae\x08\xa8\x08\xa8\x08\xa6\x08\xa6\x08',) | (1.0414098428213163e-33,)
>> Tue May 18 14:56:09 2021 | (b'\xe9\x08\x03\x08',) | (64007, 64007, 264, 264, 3080, 3080, 1032, 1032) | (b'\x00\x08\x00\x08\x02\x08\x02\x08\x04\x08\x04\x08',) | (3.747004185559941e-34,)
>> Tue May 18 14:56:09 2021 | (b'\xbc\x07i\x02',) | (22530, 22530, 23042, 23042, 25602, 25602, 27138, 27138) | (b'r\x02r\x02j\x02j\x02o\x02o\x02',)       | (1.7926992862388361e-37,)
>> Tue May 18 14:56:09 2021 | (b'\x91\x02\x03\x0c',) | (2316, 2316, 2060, 2060, 3596, 3596, 12, 12) | (b'\xef\x0b\xef\x0b\xf9\x0b\xf9\x0b\x02\x0c\x02\x0c',) | (1.0942909659686137e-31,)
>> Tue May 18 14:56:09 2021 | (b'\xfb\x0b1\x02',) | (12802, 12802, 16386, 16386, 17410, 17410, 14850, 14850) | (b'9\x029\x028\x028\x02&\x02&\x02',)       | (1.241677901500103e-37,)
>> Tue May 18 14:56:09 2021 | (b'\r\x02Q\x08',) | (22024, 22024, 23560, 23560, 20744, 20744, 22024, 22024) | (b'V\x08V\x08W\x08W\x08X\x08X\x08',)       | (6.8621117401082646e-34,)
>> Tue May 18 14:56:10 2021 | (b'\x92\x08d\x08',) | (21768, 21768, 19464, 19464, 24840, 24840, 21512, 21512) | (b'V\x08V\x08L\x08L\x08R\x08R\x08',)       | (6.651459938198545e-34,)
>> Tue May 18 14:56:10 2021 | (b'\x1e\x08B\x02',) | (15106, 15106, 12802, 12802, 13570, 13570, 16642, 16642) | (b'/\x02/\x02:\x02:\x027\x027\x02',)       | (1.3812699856339153e-37,)
>> Tue May 18 14:56:10 2021 | (b'd\x02\x05\x0c',) | (2316, 2316, 1292, 1292, 1804, 1804, 64011, 64011) | (b'\x05\x0c\x05\x0c\x0b\x0c\x0b\x0c\xee\x0b\xee\x0b',) | (9.78552850131567e-32,)
>> Tue May 18 14:56:10 2021 | (b'\x03\x0cl\x02',) | (24834, 24834, 23810, 23810, 27394, 27394, 27394, 27394) | (b'k\x02k\x02f\x02f\x02l\x02l\x02',)       | (1.6824950092910895e-37,)
>> Tue May 18 14:56:10 2021 | (b'A\x08\xc3\x08',) | (43016, 43016, 39176, 39176, 40456, 40456, 41480, 41480) | (b'\x99\x08\x99\x08\x99\x08\x99\x08\x9d\x08\x9d\x08',) | (9.69186367880841e-34,)
>> Tue May 18 14:56:10 2021 | (b'W\x08\x04\x02',) | (1538, 1538, 1282, 1282, 1282, 1282, 2050, 2050) | (b'\x0c\x02\x0c\x02\x0b\x02\x0b\x02\x0b\x02\x0b\x02',) | (1.0065754440115767e-37,)
>> Tue May 18 14:56:10 2021 | (b'2\x02\x00\x0c',) | (65035, 65035, 65291, 65291, 2828, 2828, 63243, 63243) | (b'\xe9\x0b\xe9\x0b\xf2\x0b\xf2\x0b\xfd\x0b\xfd\x0b',) | (1.0018449180448054e-31,)
